1142741377916252161;Matteo Salvini‏Account verificato;@matteosalvinimi;;2019-06-23 12:29:10;Ho scritto personalmente al mio collega ministro olandese: sono incredulo perché si stanno disinteressando di una nave con la loro bandiera, peraltro usata da una Ong tedesca, che da ormai undici giorni galleggia in mezzo al mare.pic.twitter.com/n7omeJC0dq;Ho scritto personalmente al mio collega ministro olandese: sono incredulo perché si stanno disinteressando di una nave con la loro bandiera, peraltro usata da una Ong tedesca, che da ormai undici giorni galleggia in mezzo al mare.  ;;;
1142744189907755008;Marilu'‏;@Marilu54347936;In risposta a @matteosalvinimi;2019-06-23 12:40:20;"Assente e lontano come lo è lei quando dovrebbe incontrarsi con i suoi colleghi europei per discutere e trovare una soluzione. Facile dare la colpa agli altri ministro Selfini, mentre tra un comizio e un selfie ""coraggiosamente"" sceglie una crêpe alla nutella";"Assente e lontano come lo è lei quando dovrebbe incontrarsi con i suoi colleghi europei per discutere e trovare una soluzione. Facile dare la colpa agli altri ministro Selfini, mentre tra un comizio e un selfie ""coraggiosamente"" sceglie una crêpe alla nutella";8;2;52
1142751839554809857;stellatizias‏;@stellatizias;In risposta a @matteosalvinimi;2019-06-23 13:10:44;Questo é un atto ostile contro l'Italia. Provi a richiamare il ns ambasciatore dall'Olanda ... per vedere l'effetto che fa!;Questo é un atto ostile contro l'Italia. Provi a richiamare il ns ambasciatore dall'Olandaper vedere l'effetto che fa!;;3;13
1142785184363950081;💚 🍃 🍀Laura 🍀 💚 🍃‏;@lauraleghista;In risposta a @matteosalvinimi;2019-06-23 15:23:14;Matteo come ben vedi nessuno li vuole ..tutti fanno i finti tonti ..poi quando sono intervistati appaiono sempre disponibili , finita l’intervista spengono la recita del buonismo;Matteo come ben vedi nessuno li vuole ..tutti fanno i finti tonti ..poi quando sono intervistati appaiono sempre disponibili , finita l’intervista spengono la recita del buonismo;1;4;28
1142744616111939584;Persil‏;@PersilQ;In risposta a @matteosalvinimi;2019-06-23 12:42:02;L'Unione Europea esiste solo in qualche mente bacata;L'Unione Europea esiste solo in qualche mente bacata;;1;13
1142741850333294592;Antani‏;@Antani37897772c;In risposta a @matteosalvinimi;2019-06-23 12:31:02;Faccia scendere solo le donne, capitano. Poi rifornisca di viveri e carburante i sedicenti benefattori e li spedisca a casa Soros;Faccia scendere solo le donne, capitano. Poi rifornisca di viveri e carburante i sedicenti benefattori e li spedisca a casa Soros;6;;8
1142758504308117506;Francesca effe‏;@Francescaeffe3;In risposta a @Antani37897772c e @matteosalvinimi;2019-06-23 13:37:13;No nessuno deve scendere #portichiusi per tutti;No nessuno deve scendere #portichiusi per tutti;1;;5
1142775379335221249;Thermopili‏;@export1937;In risposta a @Francescaeffe3, @Antani37897772c e @matteosalvinimi;2019-06-23 14:44:16;Concordo pienamente.;Concordo pienamente.;;1;4
1142771964211318784;Gianuele‏;@stralunauta;In risposta a @matteosalvinimi;2019-06-23 14:30:42;Signor Salvini, Lei è ministro del mio Paese, potrebbe fare qualcosa, non lo fa e non si sente responsabile per questo. Perché invece io che non posso fare nulla, se non NON votarla, mi sento così in colpa?;Signor Salvini, Lei è ministro del mio Paese, potrebbe fare qualcosa, non lo fa e non si sente responsabile per questo. Perché invece io che non posso fare nulla, se non NON votarla, mi sento così in colpa?;2;2;15
1142796960941924352;mara,antifascista, europeista.‏;@mrtrs77;In risposta a @stralunauta, @AnpiBrescia e @matteosalvinimi;2019-06-23 16:10:02;Io anche..;Io anche..;;;2
