d_gerbino;2015-12-29 10:54;1;0;più IMMIGRATI più TASSE più DISOCCUPATI più INSICUREZZA Questo è il vero bilancio di un anno di #GovernoRenzi @SkyTG24;;@;#;"""681790468137598976""";"https://twitter.com/d_gerbino/status/681790468137598976
";0;1
albertobertoni_;2015-12-30 17:10;0;0;@AntonioSanson23 E' vero. E' un vero e proprio razzismo contro gli Italiani. Che schifo!;;@AntonioSanson23;;"""682247409066455041""";"https://twitter.com/albertobertoni_/status/682247409066455041
";1;1
MeiAntonio;2015-12-30 13:48;0;0;Maltempo, i trafficanti offrono sconti ai clandestini - Imola Oggi ;;;;"""682196634214776832""";"https://twitter.com/MeiAntonio/status/682196634214776832
";1;1
moninareciclada;2015-12-30 22:44;0;0;@ReyLear67 este vivia en platanos cdo yo era chica.armaba mesas de ruleta juego clandestino x $ cdo ejercia como medico.atras de la malteria;;@;;"""682331426205741056""";"https://twitter.com/moninareciclada/status/682331426205741056
";;0
gazzettadilucca;2015-12-28 19:45;0;0;#Politica Richiedenti asilo: la Giunta approva altri progetti per la salvaguardia e la manutenzione del territorio ;;;#;"""681561532979916800""";"https://twitter.com/gazzettadilucca/status/681561532979916800
";0;1
_marco_merlin;2015-12-30 09:51;0;0;@angealfa Prova con calma vedrai che esiste l'autolspulsione, vergognati di esistere, 65 espulsioni su 6.000.000 di sbarchi clandestini.;;@;;"""682121883337265152""";"https://twitter.com/_marco_merlin/status/682121883337265152
";-1;1
matteosalvinimi;2018-12-30 16:38;219;1390;In generale, la Guardia di Finanza ha effettuato nei giorni scorsi oltre 700 interventi su esplosivi e fuochi d'artificio, denunciato 705 persone, di cui 53 arrestati e sequestrato oltre un milione e mezzo di botti” illegali. Grazie! @GDF;;@;;"""1079401233826365441""";"https://twitter.com/matteosalvinimi/status/1079401233826365441
";1;1
AlfioCaruso2;2015-12-30 14:06;1;0;Hackerato da #Anonymous il sito del difensore della razza #Salvini: <<E' un attacco alla democrazia>>. Ma anche al razzismo.;;;# #;"""682201183658749952""";"https://twitter.com/AlfioCaruso2/status/682201183658749952
";1;1
buzzzbry;2015-12-31 00:48;0;0;Germany plans to curb benefits for EU migrants -  ;;;;"""682347610586255360""";"https://twitter.com/buzzzbry/status/682347610586255360
";;0
giek2;2015-12-30 21:18;0;0;altra bancadeboschi a lisbona ti obbligano a far gestire tuoi soldi dalle banche (tranne gli stranieri) poi ti espropriano. sinistra de che;;;;"""682309769730899977""";"https://twitter.com/giek2/status/682309769730899977
";-1;1
matteosalvinimi;2015-12-27 17:21;104;212;Se Renzi facesse due passi senza scorta in giro per Milano o per Roma... che cosa gli direbbero secondo voi??? ;;;;"""681147835400720386""";"https://twitter.com/matteosalvinimi/status/681147835400720386
";-1;1
gzarantonello2;2015-12-30 12:46;0;1;Qualcuno sa come si fa jutube la lingua dei film stranieri in italiano con il cellulare s6 grazie.;;;;"""682180888130654208""";"https://twitter.com/gzarantonello2/status/682180888130654208
";0;1
CittadiVicenza;2015-12-30 15:22;0;0;Richiedenti asilo, firmato il nuovo protocollo d’intesa per il lavoro volontario gratuito ;;;;"""682220265854623744""";"https://twitter.com/CittadiVicenza/status/682220265854623744
";0;1
d_gerbino;2015-12-29 10:54;1;0;più IMMIGRATI più TASSE più DISOCCUPATI più INSICUREZZA Questo è il vero bilancio di un anno di #GovernoRenzi @SkyTG24;;@;#;"""681790468137598976""";"https://twitter.com/d_gerbino/status/681790468137598976
";-1;1
visionscarto;2015-12-31 00:31;0;0;Migrants, mi-hommes DATAGUEULE 52 - vidéo Dailymotion ;;;;"""682343251068739584""";"https://twitter.com/visionscarto/status/682343251068739584
";;0
FCoglioni;2015-12-27 00:28;2;2;Immigrati picchiano carabinieri, Salvini: mandiamo l’esercito a ripulire la città”  ;;;;"""680893097727791104""";"https://twitter.com/FCoglioni/status/680893097727791104
";-1;1
Peritas65;2015-12-22 10:07;0;0;@matteosalvinimi dopo i terroni, Roma ladrona,gli immigrati, i musulmani, gli attentati, ora siamo passati alla categoria malattie?;;@;;"""679241880878628865""";"https://twitter.com/Peritas65/status/679241880878628865
";-1;1
